Canonical Data ID,Canonical Data Element,Definition,Data Domain,Source System,System Owner/POC,Extraction Method,Refresh Frequency,Status,Notes
CD-001,Purchase Order (PO) Data,"Indirect procurement purchase order data curated into Silver/Gold for spend visibility, sourcing automation, and invoice compliance matching.",Purchase Order,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.purchase_orders_v1,,,Not Started,? Flag for Siyang to review — confirm definition and whether additional systems contribute PO data beyond Coupa.
CD-002,EAA Data (Marketing / Store Allocation),"Marketing and store-allocation spend data curated into Silver/Gold for spend visibility; EAA migration is pending resolution of marketing/store allocation approach, with no Coupa equivalent today.",Spend Category,EAA,,,,Not Started,? Flag for Siyang to review — confirm scope given EAA migration status and eventual Coupa equivalent.
CD-003,Invoice Data (AP),"Accounts payable invoice header and line-item data used for OCR digitization, sourcing/compliance matching, and discrepancy detection.",Invoice,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.invoices_v1,,,Not Started,? Flag for Siyang to review — confirm Coupa AP scope vs. Oracle AP (see row below).
CD-003,Invoice Data (AP),,Invoice,Oracle AP,,,,Not Started,? Flag for Siyang to review — confirm whether Oracle AP is an active parallel source or being retired/consolidated into Coupa.
CD-004,Invoice Attachments,"Scanned/PDF invoice attachments accessible in Unity Catalog, feeding the OCR digitization pipeline and enabling line-item detail extraction.",Invoice,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.invoice_attachments_v1,,,Not Started,? Flag for Siyang to review — confirm attachment storage path and OCR pipeline vendor.
CD-005,Purchase Request Data,"Purchase requisition data used to power sourcing recommendation logic, the conversational sourcing interface, and category manager approval workflows.",Purchase Order,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.requisitions_v1,,,Not Started,? Flag for Siyang to review — confirm requisition data scope and category manager workflow mapping.
CD-006,Contract Data,"Contract data ingested and linked to purchase orders and invoices to support compliance rules, discrepancy flags, and escalation logic.",Contract,Legal Tracker,,,,Not Started,"? Flag for Siyang to review — roadmap targets contract data ingestion in Q3/Q4 FY26, but Legal Tracker is scoped Post-MVP (Jan '27+) — confirm interim contract source or timeline alignment."
CD-006,Contract Data,"Contract header and term data used to connect suppliers, purchase orders, and invoices for contract-compliance checks, sourcing analysis, discrepancy detection, and escalation workflows.",Contract,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.contracts_v1,,,,
CD-007,Supplier and Vendor Data,"Supplier or vendor master data used for supplier-level spend aggregation, sourcing, compliance, payment-term analysis, vendor segmentation, and joining procurement documents to the correct supplier entity.",Vendor Master,Coupa,"kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.suppliers_v1
kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.supplier_items_v1",,,,
CD-007,Supplier and Vendor Data,"EAA vendor-master data providing vendor classifications, organizational context, and reporting attributes. EAA vendor records display version or history behavior and require agreed current-state selection logic.",Vendor Master,EAA,,,,,
CD-008,Commodity and Category Data,"Commodity taxonomy and category attributes used to classify requisitions, purchase orders, invoice lines, items, and suppliers for category-level spend visibility and sourcing analytics.",Spend Category,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.commodities_v1,,,,
CD-009,Purchase Order Line Data,"Purchase-order line-level data containing item, quantity, amount, commodity, accounting, and related document references. Supports line-level spend, invoice matching, compliance checks, and sourcing analysis.",Purchase Order,EAA,,,,,
CD-010,Purchase Accounting Allocation,"Purchase-order accounting distribution data used to allocate procurement spend by account, project, division, market, cost center, or other financial and organizational dimensions.",Cost Center,EAA,,,,,
CD-011,Activity Data,Reference data describing purchasing or organizational activities associated with procurement transactions. Supports operational classification and spend segmentation.,Spend Category,EAA,,,,,
CD-012,Division Data,Division hierarchy and attributes used to roll up procurement spend and purchasing activity by Kroger organizational division.,Organization,EAA,,,,,
CD-013,Market Data,Market hierarchy and attributes used to analyze purchasing activity and spend below the division level and above the store level.,Organization,EAA,,,,,
CD-014,Store Data,Store reference data used to attribute purchasing activity and spend to specific stores or operating locations.,Organization,EAA,,,,,
CD-015,Market-Store Relationship,Bridge data connecting stores to markets and supporting validated organizational rollups from store to market and division.,Organization,EAA,,,,,
CD-016,Vendor Type Data,Vendor classification reference data used to segment suppliers by defined vendor-type categories and support sourcing and spend analysis.,Vendor Master,EAA,,,,,
CD-017,Vendor-Type Assignment,Data assigning vendors to one or more vendor-type categories. Supports supplier segmentation and category or sourcing analysis.,Vendor Master,EAA,,,,,
CD-018,Invoice Workflow and Exception History,"Invoice-processing, workflow, status, or exception-history data used to understand invoice review outcomes and operational exceptions. Its role in core spend reporting versus operational monitoring requires confirmation.",Invoice,EAA,,,,,
CD-019,Invoice Payment Data,"Payment records embedded within Coupa invoice payloads, including payable identifier, payment date, and payment amount. Supports paid-versus-unpaid analysis and invoice-payment traceability.",Payment,Coupa,,,,,
CD-020,Item Data,"Item or catalog reference data used to associate procurement transactions with item numbers, manufacturer part numbers, commodity classifications, expenditure types, and asset categories.",Item,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.items_v1,,,,
CD-021,User and Requester Data,"User or requester information associated with procurement demand and approvals, including user identifier, employee number, division, location, cost center, and position where available.",User,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.users_v1,,,,
CD-022,Purchase Order Change Data,"Historical purchase-order change records used to analyze amendments, status changes, revised values, and the relationship between the current purchase order and prior versions.",Purchase Order,Coupa,kr_indirect_procurement_nonprod.coupa_api_nonprod_bronze.purchase_order_changes_v1,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
